"section","subsection","element","Value"
"Data","Data partitioning","Validation data","We used a 5-fold random cross-validation."
"Data","Data partitioning","Test data",""
"Data","Predictor variables","Predictor variables","15 bioclimatic variables (bio1, bio2, bio3, bio4, bio5, bio6, bio7, bio10, bio11, bio12, bio13, bio14, bio15, bio16, bio17); 14 edaphic variables (soil organic carbon content, total nitrogen,  coarse fragments, pH, cation exchange capacity, bulk density, sand content, clay content, silt content, soil water content at three different pressure heads)"
"Data","Predictor variables","Data sources","Chelsa Version 2.1; SoilGrids Version 2.0"
"Data","Predictor variables","Spatial extent",
"Data","Predictor variables","Spatial resolution","1 km"
"Data","Predictor variables","Coordinate reference system","WGS 84 (EPSG:4326)"
"Data","Predictor variables","Temporal extent","Chelsa: 1981-2010; SoilGrids: "
"Data","Predictor variables","Temporal resolution",""
"Data","Predictor variables","Data processing","We averaged the soil data over the three downloaded depth intervals (30 cm)."
"Data","Predictor variables","Errors and biases",""
"Data","Predictor variables","Dimension reduction","We excluded bio8, bio8, bio18, and bio19 as these are variables that combine temperature and precipitation data. We pursued to avoid artefacts leading to discontinuities in interpolated surfaces."
"Data","Transfer data","Data sources",""
"Data","Transfer data","Spatial extent",
"Data","Transfer data","Spatial resolution",""
"Data","Transfer data","Temporal extent",""
"Data","Transfer data","Temporal resolution",""
"Data","Transfer data","Models and scenarios",""
"Data","Transfer data","Data processing",""
"Data","Transfer data","Quantification of Novelty",""
"Model","Variable pre-selection","Variable pre-selection",""
"Model","Multicollinearity","Multicollinearity","We checked for multi-collinearity and only retained the more important variable from highly correlated pairs with Spearman correlations |r| > 0.7. Variable importance was assessed using the Boyce index, determined based on univariate GLMs and a 5-fold cross-validation. We considered the four variables that were ranked most important in the list of weakly correlated predictors for modelling. "
"Model","Model settings","Model settings (fitting)","glm: no settings provided; gam: no settings provided; randomForest: no settings provided; brt: no settings provided"
"Model","Model settings","Model settings (extrapolation)",""
"Model","Model estimates","Coefficients",""
"Model","Model estimates","Parameter uncertainty",""
"Model","Model estimates","Variable importance",""
"Model","Model selection - model averaging - ensembles","Model selection",""
"Model","Model selection - model averaging - ensembles","Model averaging","We used the arithmetic mean to average the predictions of the 10 replicate models of RFs and BRTs."
"Model","Model selection - model averaging - ensembles","Model ensembles","We used the arithmetic mean to average the predictions of the four different algorithms."
"Model","Analysis and Correction of non-independence","Spatial autocorrelation",""
"Model","Analysis and Correction of non-independence","Temporal autocorrelation",""
"Model","Analysis and Correction of non-independence","Nested data",""
"Model","Threshold selection","Threshold selection","maxTSS"
"Assessment","Performance statistics","Performance on training data",
"Assessment","Performance statistics","Performance on validation data","AUC; True positive rate; True negative rate; TSS; Boyce"
"Assessment","Performance statistics","Performance on test data",
"Assessment","Plausibility check","Response shapes","Partial response plots"
"Assessment","Plausibility check","Expert judgement",""
"Prediction","Prediction output","Prediction unit","continuous habitat suitability; suitable vs. unsuitable habitat (binary measure)"
"Prediction","Prediction output","Post-processing",""
"Prediction","Uncertainty quantification","Algorithmic uncertainty",""
"Prediction","Uncertainty quantification","Input data uncertainty",""
"Prediction","Uncertainty quantification","Parameter uncertainty",""
"Prediction","Uncertainty quantification","Scenario uncertainty",""
"Prediction","Uncertainty quantification","Novel environments",""
